Potential/V, Current/A
-0.527,1.13E-03
-0.526,1.11E-03
-0.525,1.09E-03
-0.524,1.08E-03
-0.523,1.06E-03
-0.522,1.05E-03
-0.521,1.05E-03
-0.52,1.04E-03
-0.519,1.04E-03
-0.518,1.03E-03
-0.517,1.03E-03
-0.516,1.03E-03
-0.515,1.03E-03
-0.514,1.03E-03
-0.513,1.03E-03
-0.512,1.04E-03
-0.511,1.04E-03
-0.51,1.04E-03
-0.509,1.05E-03
-0.508,1.05E-03
-0.507,1.05E-03
-0.506,1.06E-03
-0.505,1.06E-03
-0.504,1.06E-03
-0.503,1.06E-03
-0.502,1.06E-03
-0.501,1.07E-03
-0.5,1.07E-03
-0.499,1.07E-03
-0.498,1.07E-03
-0.497,1.06E-03
-0.496,1.06E-03
-0.495,1.06E-03
-0.494,1.06E-03
-0.493,1.05E-03
-0.492,1.05E-03
-0.491,1.04E-03
-0.49,1.03E-03
-0.489,1.03E-03
-0.488,1.02E-03
-0.487,1.01E-03
-0.486,1.00E-03
-0.485,9.94E-04
-0.484,9.84E-04
-0.483,9.73E-04
-0.482,9.62E-04
-0.481,9.51E-04
-0.48,9.39E-04
-0.479,9.26E-04
-0.478,9.13E-04
-0.477,9.00E-04
-0.476,8.86E-04
-0.475,8.72E-04
-0.474,8.58E-04
-0.473,8.43E-04
-0.472,8.28E-04
-0.471,8.13E-04
-0.47,7.98E-04
-0.469,7.83E-04
-0.468,7.67E-04
-0.467,7.51E-04
-0.466,7.35E-04
-0.465,7.20E-04
-0.464,7.04E-04
-0.463,6.88E-04
-0.462,6.72E-04
-0.461,6.57E-04
-0.46,6.41E-04
-0.459,6.26E-04
-0.458,6.10E-04
-0.457,5.95E-04
-0.456,5.80E-04
-0.455,5.66E-04
-0.454,5.51E-04
-0.453,5.37E-04
-0.452,5.23E-04
-0.451,5.10E-04
-0.45,4.96E-04
-0.449,4.83E-04
-0.448,4.71E-04
-0.447,4.59E-04
-0.446,4.46E-04
-0.445,4.35E-04
-0.444,4.24E-04
-0.443,4.12E-04
-0.442,4.02E-04
-0.441,3.92E-04
-0.44,3.82E-04
-0.439,3.72E-04
-0.438,3.63E-04
-0.437,3.54E-04
-0.436,3.46E-04
-0.435,3.38E-04
-0.434,3.30E-04
-0.433,3.22E-04
-0.432,3.15E-04
-0.431,3.08E-04
-0.43,3.02E-04
-0.429,2.95E-04
-0.428,2.89E-04
-0.427,2.83E-04
-0.426,2.78E-04
-0.425,2.73E-04
-0.424,2.68E-04
-0.423,2.64E-04
-0.422,2.59E-04
-0.421,2.55E-04
-0.42,2.51E-04
-0.419,2.47E-04
-0.418,2.44E-04
-0.417,2.40E-04
-0.416,2.37E-04
-0.415,2.35E-04
-0.414,2.32E-04
-0.413,2.29E-04
-0.412,2.27E-04
-0.411,2.25E-04
-0.41,2.23E-04
-0.409,2.21E-04
-0.408,2.20E-04
-0.407,2.18E-04
-0.406,2.17E-04
-0.405,2.16E-04
-0.404,2.15E-04
-0.403,2.14E-04
-0.402,2.13E-04
-0.401,2.12E-04
-0.4,2.11E-04
-0.399,2.11E-04
-0.398,2.10E-04
-0.397,2.10E-04
-0.396,2.10E-04
-0.395,2.10E-04
-0.394,2.10E-04
-0.393,2.10E-04
-0.392,2.09E-04
-0.391,2.10E-04
-0.39,2.10E-04
-0.389,2.10E-04
-0.388,2.11E-04
-0.387,2.11E-04
-0.386,2.11E-04
-0.385,2.12E-04
-0.384,2.13E-04
-0.383,2.13E-04
-0.382,2.14E-04
-0.381,2.14E-04
-0.38,2.15E-04
-0.379,2.16E-04
-0.378,2.17E-04
-0.377,2.18E-04
-0.376,2.18E-04
-0.375,2.19E-04
-0.374,2.20E-04
-0.373,2.21E-04
-0.372,2.22E-04
-0.371,2.23E-04
-0.37,2.24E-04
-0.369,2.25E-04
-0.368,2.26E-04
-0.367,2.27E-04
-0.366,2.29E-04
-0.365,2.30E-04
-0.364,2.31E-04
-0.363,2.32E-04
-0.362,2.33E-04
-0.361,2.34E-04
-0.36,2.35E-04
-0.359,2.36E-04
-0.358,2.38E-04
-0.357,2.39E-04
-0.356,2.40E-04
-0.355,2.41E-04
-0.354,2.43E-04
-0.353,2.44E-04
-0.352,2.45E-04
-0.351,2.46E-04
-0.35,2.47E-04
-0.349,2.48E-04
-0.348,2.50E-04
-0.347,2.51E-04
-0.346,2.52E-04
-0.345,2.53E-04
-0.344,2.54E-04
-0.343,2.55E-04
-0.342,2.56E-04
-0.341,2.57E-04
-0.34,2.58E-04
-0.339,2.60E-04
-0.338,2.60E-04
-0.337,2.61E-04
-0.336,2.62E-04
-0.335,2.63E-04
-0.334,2.64E-04
-0.333,2.65E-04
-0.332,2.66E-04
-0.331,2.67E-04
-0.33,2.67E-04
-0.329,2.68E-04
-0.328,2.68E-04
-0.327,2.69E-04
-0.326,2.70E-04
-0.325,2.70E-04
-0.324,2.71E-04
-0.323,2.71E-04
-0.322,2.72E-04
-0.321,2.72E-04
-0.32,2.72E-04
-0.319,2.73E-04
-0.318,2.73E-04
-0.317,2.73E-04
-0.316,2.74E-04
-0.315,2.73E-04
-0.314,2.74E-04
-0.313,2.74E-04
-0.312,2.74E-04
-0.311,2.74E-04
-0.31,2.74E-04
-0.309,2.74E-04
-0.308,2.74E-04
-0.307,2.74E-04
-0.306,2.74E-04
-0.305,2.74E-04
-0.304,2.73E-04
-0.303,2.73E-04
-0.302,2.73E-04
-0.301,2.73E-04
-0.3,2.73E-04
-0.299,2.72E-04
-0.298,2.72E-04
-0.297,2.72E-04
-0.296,2.72E-04
-0.295,2.72E-04
-0.294,2.71E-04
-0.293,2.71E-04
-0.292,2.71E-04
-0.291,2.70E-04
-0.29,2.70E-04
-0.289,2.70E-04
-0.288,2.69E-04
-0.287,2.69E-04
-0.286,2.68E-04
-0.285,2.68E-04
-0.284,2.68E-04
-0.283,2.68E-04
-0.282,2.67E-04
-0.281,2.67E-04
-0.28,2.66E-04
-0.279,2.66E-04
-0.278,2.66E-04
-0.277,2.65E-04
-0.276,2.65E-04
-0.275,2.64E-04
-0.274,2.64E-04
-0.273,2.64E-04
-0.272,2.63E-04
-0.271,2.63E-04
-0.27,2.63E-04
-0.269,2.62E-04
-0.268,2.62E-04
-0.267,2.62E-04
-0.266,2.61E-04
-0.265,2.61E-04
-0.264,2.60E-04
-0.263,2.60E-04
-0.262,2.60E-04
-0.261,2.60E-04
-0.26,2.59E-04
-0.259,2.59E-04
-0.258,2.59E-04
-0.257,2.59E-04
-0.256,2.58E-04
-0.255,2.58E-04
-0.254,2.58E-04
-0.253,2.57E-04
-0.252,2.57E-04
-0.251,2.57E-04
-0.25,2.57E-04
-0.249,2.56E-04
-0.248,2.56E-04
-0.247,2.56E-04
-0.246,2.56E-04
-0.245,2.56E-04
-0.244,2.55E-04
-0.243,2.55E-04
-0.242,2.55E-04
-0.241,2.55E-04
-0.24,2.54E-04
-0.239,2.54E-04
-0.238,2.54E-04
-0.237,2.54E-04
-0.236,2.54E-04
-0.235,2.53E-04
-0.234,2.53E-04
-0.233,2.53E-04
-0.232,2.53E-04
-0.231,2.53E-04
-0.23,2.52E-04
-0.229,2.52E-04
-0.228,2.52E-04
-0.227,2.52E-04
-0.226,2.52E-04
-0.225,2.52E-04
-0.224,2.52E-04
-0.223,2.52E-04
-0.222,2.52E-04
-0.221,2.52E-04
-0.22,2.52E-04
-0.219,2.51E-04
-0.218,2.51E-04
-0.217,2.51E-04
-0.216,2.51E-04
-0.215,2.51E-04
-0.214,2.51E-04
-0.213,2.51E-04
-0.212,2.51E-04
-0.211,2.51E-04
-0.21,2.51E-04
-0.209,2.51E-04
-0.208,2.50E-04
-0.207,2.50E-04
-0.206,2.50E-04
-0.205,2.50E-04
-0.204,2.50E-04
-0.203,2.50E-04
-0.202,2.50E-04
-0.201,2.50E-04
-0.2,2.50E-04
-0.199,2.50E-04
-0.198,2.50E-04
-0.197,2.50E-04
-0.196,2.50E-04
-0.195,2.50E-04
-0.194,2.50E-04
-0.193,2.50E-04
-0.192,2.50E-04
-0.191,2.50E-04
-0.19,2.50E-04
-0.189,2.50E-04
-0.188,2.50E-04
-0.187,2.50E-04
-0.186,2.50E-04
-0.185,2.50E-04
-0.184,2.50E-04
-0.183,2.51E-04
-0.182,2.51E-04
-0.181,2.51E-04
-0.18,2.51E-04
-0.179,2.51E-04
-0.178,2.51E-04
-0.177,2.51E-04
-0.176,2.51E-04
-0.175,2.51E-04
-0.174,2.51E-04
-0.173,2.52E-04
-0.172,2.52E-04
-0.171,2.52E-04
-0.17,2.52E-04
-0.169,2.52E-04
-0.168,2.52E-04
-0.167,2.52E-04
-0.166,2.52E-04
-0.165,2.53E-04
-0.164,2.53E-04
-0.163,2.53E-04
-0.162,2.53E-04
-0.161,2.53E-04
-0.16,2.54E-04
-0.159,2.54E-04
-0.158,2.54E-04
-0.157,2.54E-04
-0.156,2.55E-04
-0.155,2.55E-04
-0.154,2.55E-04
-0.153,2.55E-04
-0.152,2.56E-04
-0.151,2.56E-04
-0.15,2.56E-04
-0.149,2.56E-04
-0.148,2.57E-04
-0.147,2.57E-04
-0.146,2.57E-04
-0.145,2.57E-04
-0.144,2.58E-04
-0.143,2.58E-04
-0.142,2.58E-04
-0.141,2.59E-04
-0.14,2.59E-04
-0.139,2.59E-04
-0.138,2.60E-04
-0.137,2.60E-04
-0.136,2.60E-04
-0.135,2.60E-04
-0.134,2.61E-04
-0.133,2.61E-04
-0.132,2.61E-04
-0.131,2.62E-04
-0.13,2.62E-04
-0.129,2.62E-04
-0.128,2.63E-04
-0.127,2.63E-04
-0.126,2.63E-04
-0.125,2.63E-04
-0.124,2.64E-04
-0.123,2.64E-04
-0.122,2.64E-04
-0.121,2.64E-04
-0.12,2.64E-04
-0.119,2.64E-04
-0.118,2.64E-04
-0.117,2.65E-04
-0.116,2.65E-04
-0.115,2.65E-04
-0.114,2.65E-04
-0.113,2.65E-04
-0.112,2.65E-04
-0.111,2.65E-04
-0.11,2.65E-04
-0.109,2.66E-04
-0.108,2.66E-04
-0.107,2.66E-04
-0.106,2.66E-04
-0.105,2.66E-04
-0.104,2.66E-04
